"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"omniager_abec_coef","Aging omic biomarker predictor coefficients for omniager_abec_coef","3.22",NA,"CSV","https://doi.org/10.1186/s12864-020-07168-8","2020","Homo sapiens","9606",TRUE,"Lee Y et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_abec_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_anage_data","Aging omic biomarker predictor coefficients for omniager_anage_data","3.22",NA,"RDS","https://zenodo.org/records/7574747","2023","Mammalia",NA,TRUE,"Lu AT et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_anage_data.rds","OmniAgeR:CrossSpecies:AnimalModels"
"omniager_bernabeu_cage_coef","Aging omic biomarker predictor coefficients for omniager_bernabeu_cage_coef","3.22",NA,"CSV","https://github.com/elenabernabeu/cage_bage/tree/main/cage_predictor)","2023","Homo sapiens","9606",TRUE,"Bernabeu E et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_bernabeu_cage_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_beta_c46","Aging omic biomarker predictor coefficients for omniager_beta_c46","3.22",NA,"RData","https://github.com/jsalignon/pasta","2025","Homo sapiens","9606",TRUE,"Salignon J et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","numeric","Rds","https://zenodo.org/records/18832408/files/","omniager_beta_c46.rds","OmniAgeR:Transcriptomics:AgingClock:Biomarker"
"omniager_beta_pasta","Aging omic biomarker predictor coefficients for omniager_beta_pasta","3.22",NA,"RData","https://github.com/jsalignon/pasta","2025","Homo sapiens","9606",TRUE,"Salignon J et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","numeric","Rds","https://zenodo.org/records/18832408/files/","omniager_beta_pasta.rds","OmniAgeR:Transcriptomics:AgingClock:Biomarker"
"omniager_bohlin_ga_coef","Aging omic biomarker predictor coefficients for omniager_bohlin_ga_coef","3.22",NA,"RDA","https://zenodo.org/badge/latestdoi/23951/JonBohlin/predictGA","2016","Homo sapiens","9606",TRUE,"Bohlin J et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_bohlin_ga_coef.rds","OmniAgeR:Methylation:GestationalAge:Biomarker"
"omniager_brain_celltype_specific_clocks_coef","Aging omic biomarker predictor coefficients for omniager_brain_celltype_specific_clocks_coef","3.22",NA,"CSV","https://doi.org/10.1002/advs.202506109","2025","Homo sapiens","9606",TRUE,"Muralidharan C et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_brain_celltype_specific_clocks_coef.rds","OmniAgeR:Transcriptomics:AgingClock:Biomarker"
"omniager_brain_frohlich_control_example_15donors","Aging omic biomarker predictor coefficients for omniager_brain_frohlich_control_example_15donors","3.22",NA,"HDF5","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254569","2024","Homo sapiens","9606",TRUE,"NCBI GEO","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","Seurat","Rds","https://zenodo.org/records/18832408/files/","omniager_brain_frohlich_control_example_15donors.rds","OmniAgeR:Transcriptomics:SingleCell:ExampleData"
"omniager_cabec_coef","Aging omic biomarker predictor coefficients for omniager_cabec_coef","3.22",NA,"CSV","https://doi.org/10.1186/s12864-020-07168-8","2020","Homo sapiens","9606",TRUE,"Lee Y et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_cabec_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_causal_clocks_coef","Aging omic biomarker predictor coefficients for omniager_causal_clocks_coef","3.22",NA,"CSV","https://doi.org/10.1038/s43587-023-00557-0","2024","Homo sapiens","9606",TRUE,"Ying K et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_causal_clocks_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
