Pattern,DataProvider,SourceVersion,Species,SourceUrl,SourceType,Tag
garagnani,"Garagnani, P et al.",2012,Homo sapiens,https://doi.org/10.1111/acel.12005,TXT,OmniAgeR:Methylation:AgingClock:Biomarker
weidner,Weidner et al,2014,Homo sapiens,https://doi.org/10.1186/gb-2014-15-2-r24,TXT,OmniAgeR:Methylation:AgingClock:Biomarker
horvath2013,Horvath S.,2013,Homo sapiens,https://doi.org/10.1186/gb-2013-14-10-r115,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
hannum,Hannum G et al.,2013,Homo sapiens,https://doi.org/10.1016/j.molcel.2012.10.016,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
lin,Lin Q et al.,2016,Homo sapiens,https://doi.org/10.18632/aging.100908,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
vidalbralo,Vidal-Bralo L et al.,2016,Homo sapiens,https://doi.org/10.3389/fgene.2016.00126,TXT,OmniAgeR:Methylation:AgingClock:Biomarker
zhang_clock,Zhang Q et al.,2019,Homo sapiens,https://github.com/qzhang314/DNAm-based-age-predictor),TXT,OmniAgeR:Methylation:AgingClock:Biomarker
horvath2018,Horvath S et al.,2018,Homo sapiens,https://doi.org/10.18632/aging.101508,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
bernabeu_cage,Bernabeu E et al.,2023,Homo sapiens,https://github.com/elenabernabeu/cage_bage/tree/main/cage_predictor),CSV,OmniAgeR:Methylation:AgingClock:Biomarker
cortical_clock,Shireby GL et al.,2020,Homo sapiens,https://github.com/gemmashireby/CorticalClock/tree/master/PredCorticalAge,TXT,OmniAgeR:Methylation:AgingClock:Biomarker
pedbe,McEwen LM et al.,2019,Homo sapiens,https://doi.org/10.1073/pnas.1820843116,TXT,OmniAgeR:Methylation:AgingClock:Biomarker
abec,Lee Y et al.,2020,Homo sapiens,https://doi.org/10.1186/s12864-020-07168-8,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
eabec,Lee Y et al.,2020,Homo sapiens,https://doi.org/10.1186/s12864-020-07168-8,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
cabec,Lee Y et al.,2020,Homo sapiens,https://doi.org/10.1186/s12864-020-07168-8,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
pipek_elasticnet,Pipek et al.,2022,Homo sapiens,https://doi.org/10.1007/s10910-022-01381-4,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
pipek_filteredh,Pipek et al.,2022,Homo sapiens,https://doi.org/10.1007/s10910-022-01381-4,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
pipek_retrainedh,Pipek et al.,2022,Homo sapiens,https://doi.org/10.1007/s10910-022-01381-4,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
intrin_clock,Tomusiak A et al.,2024,Homo sapiens,https://doi.org/10.5281/zenodo.10426597,RData,OmniAgeR:Methylation:AgingClock:Biomarker
centenarian,Dec E et al.,2023,Homo sapiens,https://doi.org/10.1007/s11357-023-00731-7,CSV,OmniAgeR:Methylation:AgingClock:Biomarker
retroage,Ndhlovu LC et al.,2024,Homo sapiens,https://doi.org/10.1111/acel.14288,XLS/XLSX,OmniAgeR:Methylation:AgingClock:Biomarker
